Date,All-items,Food,Shelter,Household,Clothing,Transportation,Health,Recreation,Alcohol-tobacco-cannabis,All-exclude-food,All-exclude-food-energy
2023-10-01,158.6,186.3,176.3,131.2,95.8,169.4,147.2,127.4,192.5,153.5,148.7
2023-11-01,159.0,186.8,177.1,131.2,96.1,169.7,147.3,129.2,193.3,154.0,149.2
2023-12-01,159.5,187.5,177.8,130.9,97.0,172.3,147.6,126.7,193.6,154.4,149.5
2024-01-01,159.3,187.5,178.4,131.4,95.3,170.9,148.3,125.9,194.2,154.2,149.6
2024-02-01,159.5,187.4,179.2,130.8,93.1,171.5,148.9,126.6,194.2,154.4,149.8
2024-03-01,159.9,187.4,179.9,130.1,94.4,172.2,149.0,127.2,194.7,154.8,150.1
2024-04-01,160.2,187.3,180.8,130.4,94.2,172.8,149.4,127.2,195.5,155.2,150.4
2024-05-01,160.6,188.4,181.5,130.5,93.7,172.1,150.5,127.7,195.8,155.5,150.9
2024-06-01,160.8,189.6,182.1,130.8,93.6,171.7,150.3,126.8,196.2,155.6,151.2
2024-07-01,161.2,190.1,182.5,131.5,93.6,171.9,150.4,126.5,196.3,156.0,151.4
2024-08-01,161.3,190.5,183.3,130.8,92.7,170.9,150.9,126.7,197.5,156.0,151.5
2024-09-01,161.3,191.0,183.5,130.9,92.5,170.0,151.5,126.7,198.0,155.9,151.8
2024-10-01,161.8,191.6,184.8,131.0,93.0,170.5,151.8,126.4,198.3,156.4,152.1
